"","King's Speech announcement","bill_id","Introduced title","Progress summary","Title**","Library briefing"
"24","Railways Bill*",4030,"Railways Bill","Line by line examination of the bill took place during the first day of committee stage on 8 September. Committee stage continues on 10 September when further amendments will be discussed.","Railways Bill","<a href=""https://commonslibrary.parliament.uk/research-briefings/cbp-10538/"" target=""_blank"">Railways Bill 2024-26: Progress of the bill</a><br><br><a href=""https://commonslibrary.parliament.uk/research-briefings/cbp-10386/"" target=""_blank"">Railways Bill 2024-26</a>"
"25","Regulating for Growth Bill",0,NA,"Bill not yet introduced.",NA,"NA"
"26","Remediation Bill",0,NA,"Bill not yet introduced.",NA,"NA"
"27","Removal of Peerages Bill",0,NA,"Bill not yet introduced.",NA,"NA"
"28","Representation of the People Bill*",4080,"Representation of the People Bill","First reading took place on 3 September. This stage is a formality that signals the start of the bill's journey through the Lords. Second reading - the general debate on all aspects of the bill - is scheduled to take place on 14 September.","Representation of the People Bill","<a href=""https://commonslibrary.parliament.uk/research-briefings/cbp-10876/"" target=""_blank"">Representation of the People Bill: progress of the bill</a><br><br><a href=""https://commonslibrary.parliament.uk/research-briefings/cbp-10506/"" target=""_blank"">Representation of the People Bill 2024-26</a>"
"29","Small Business Protections (Late Payments) Bill",4128,"Commercial Payments Bill ","Line by line examination of the bill took place during committee stage on 21 July. Report stage – a further chance to closely scrutinise elements of the bill and make changes – is scheduled for 15 September.","Commercial Payments Bill","NA"
"30","Social Housing Bill",4126,"Social Housing Bill","This Bill is expected to have its second reading debate on Thursday 10 September.The Bill completed its House of Lords stages on 1 September and was presented to the House of Commons on 2 September. This is known as the first reading and there was no debate on the Bill at this stage.","Social Housing Bill","<a href=""https://commonslibrary.parliament.uk/research-briefings/cbp-12182/"" target=""_blank"">Social Housing Bill [HL] 2026-27</a>"
"31","Sovereign Grant Bill",4280,"Sovereign Grant Bill","The Bill was introduced to the House of Commons and given its First Reading on Tuesday 1 September 2026. This stage is formal and takes place without any debate. MPs will next consider the Bill at Second Reading, followed by all remaining stages, on Monday 14 September 2026.","Sovereign Grant Bill","NA"
"32","Sporting Events Bill",4127,"Sporting Events Bill","This Bill was debated at second reading on Thursday 3 September 2026 and has now been sent to a Public Bill Committee which will scrutinise the Bill line by line and is expected to report to the House by Thursday 22 October 2026.","Sporting Events Bill","<a href=""https://commonslibrary.parliament.uk/research-briefings/cbp-10933/"" target=""_blank"">Sporting Events Bill [HL] 2026-27</a>"
"33","Steel Industry (Nationalisation) Bill",4123,"Steel Industry (Nationalisation) Bill","Following agreement by both Houses on the text of the bill it received Royal Assent on 15 July. The bill is now an Act of Parliament (law). ","Steel Industry (Nationalisation) Act 2026","<a href=""https://commonslibrary.parliament.uk/research-briefings/cbp-10846/"" target=""_blank"">Steel Industry (Nationalisation) Bill 2026-27</a>"
"34","Tackling State Threats Bill",4140,"National Security (State Threats) Bill","Following agreement by both Houses on the text of the bill it received Royal Assent on 8 July. The bill is now an Act of Parliament (law). ","National Security (State Threats) Act 2026","<a href=""https://commonslibrary.parliament.uk/research-briefings/cbp-10896/"" target=""_blank"">The National Security (State Threats) Bill</a>"
